Title,Address,Halal,Muslim Owned,Food Court,Mixed Food Court,Type of Food,Rating
Uncle Penyet @ NUS Faculty of Science,"4 Lower Kent Ridge Rd, Science Drive 2, Singapore 117549",Yes,No,Yes,No,"Malay, Indonesian, Chicken, Vegetarian, Nasi Ayam Penyet",3.6/5.0 (36 reviews)
Bounce Teochew Fishball Noodles @ Tampines Mall (Kopitiam),"4 Tampines Central 5, Singapore 529510 #04-27/28/29",Yes,No,No,Yes,"Asian, Chinese",4.0/5.0 (8 reviews)
Bounce Teochew Fishball Noodles @ Changi Airport Terminal 3 (Kopitiam),"65 Airport Boulevard, Singapore 819663 #B2-03",Yes,No,No,Yes,"Asian, Chinese",3.9/5.0 (34 reviews)
Timbre Pizza @ One North,"73a Ayer Rajah Crescent, Singapore 139957 #01-32",Yes,No,No,Yes,"Duck, Western",3.7/5.0 (30 reviews)
Timbre Pizza @ One Punggol Hawker Centre,"1 Punggol Dr., Singapore 828629 #02-05",Yes,No,No,Yes,"Duck, Western",3.7/5.0 (47 reviews)
House of Pepper @ Kedai Kopi Ang Mo Kio,"108 Ang Mo Kio Ave 4, Singapore 560108",Yes,No,Yes,No,"BBQ, Asian, Beef, Japanese",2.6/5.0 (14 reviews)
House of Pepper @ Kedai Kopi Yishun,"925 Yishun Central 1, Singapore 760925 #01-211",Yes,No,Yes,No,"BBQ, Asian, Beef, Japanese",3.3/5.0 (4 reviews)
Briyani 47 @ New Tech Park,"151 Lor Chuan, Singapore 556741 #2-01B",Yes,No,No,Yes,"Indian, Chicken, Beef, Lamb",4.3/5.0 (18 reviews)
Briyani 47 @ Hougang Mall,"90 Hougang Ave 10, Singapore 538766 #04-11",Yes,No,No,Yes,"Indian, Chicken, Beef, Lamb",3.8/5.0 (264 reviews)
Mana Lagi? @ Hougang Green Shopping Mall,"21 Hougang Street 51, Singapore 538719 #01-04",Yes,No,Yes,No,"Snacks, Singaporean, Western, Japanese, Seafood, Malay",4.0/5.0 (1 reviews)
Mana Lagi? @ Stirling Road,"169 Stirling Rd, Singapore 140169",Yes,No,Yes,No,"Snacks, Singaporean, Western, Japanese, Seafood, Malay",4.6/5.0 (15 reviews)
Mana Lagi? @ Tampines Street 43,"477 Tampines Street 43, Singapore 520477 #01-172",Yes,No,Yes,No,"Snacks, Singaporean, Western, Japanese, Seafood, Malay",3.5/5.0 (59 reviews)
Abang Gemuk @ Bukit Batok Street 52,"506 Bukit Batok Street 52, Singapore 650506",Yes,No,No,Yes,"BBQ, Chicken, Beef, American, Western",N/A
Abang Gemuk @ Lor 8 Toa Payoh,"233 Lor 8 Toa Payoh, Singapore 310233 #01-268",Yes,No,No,Yes,"BBQ, Chicken, Beef, American, Western",2.9/5.0 (37 reviews)
Abang Gemuk @ Bukit Batok West Ave 6,"134 Bukit Batok West Ave 6, Singapore 650134 #01-463",Yes,No,No,Yes,"BBQ, Chicken, Beef, American, Western",2.0/5.0 (45 reviews)
Abang Gemuk @ Sengkang East Ave,"279 Sengkang E Ave, Singapore 540279 #01-01",Yes,No,No,Yes,"BBQ, Chicken, Beef, American, Western",3.2/5.0 (19 reviews)
Abang Gemuk @ Ghim Moh Link,"25 Ghim Moh Link, Singapore 270025 #01-01",Yes,No,No,Yes,"BBQ, Chicken, Beef, American, Western",3.7/5.0 (18 reviews)
Abang Gemuk @ Toh Guan Road East,"48 Toh Guan Rd E, Singapore 608586 #01-124/125/126/127/128/129",Yes,No,No,Yes,"BBQ, Chicken, Beef, American, Western",3.3/5.0 (12 reviews)
Abang Gemuk @ Segar Road,"547 Segar Rd, Singapore 670547 #01-01",Yes,No,No,Yes,"BBQ, Chicken, Beef, American, Western",1.8/5.0 (23 reviews)
Abang Gemuk @ Aljunied Ave 2,"119 Aljunied Ave 2, Singapore 380119 #01-54",Yes,No,No,Yes,"BBQ, Chicken, Beef, American, Western",3.3/5.0 (26 reviews)
Fatty Bom Bom Sizzle x Nasi Kari @ Bukit Batok West Ave 4,"413 Bukit Batok West Ave 4, Singapore 650413 #01-220",Yes,No,No,Yes,"Western, American, Beverages, Dessert, Chicken, Seafood, Italian, Beef, Lamb, Meat",3.4/5.0 (21 reviews)
Fatty Bom Bom Sizzle @ Clementi Ave 5,"325 Clementi Ave 5, Singapore 120325 #01-129",Yes,No,No,Yes,"Western, American, Beverages, Dessert, Chicken, Seafood, Italian, Beef, Lamb, Meat",2.4/5.0 (39 reviews)
Fatty Bom Bom Sizzle @ Teck Why Ave,"145 Teck Whye Ave, Singapore 680145 #01-153",Yes,No,No,Yes,"Western, American, Beverages, Dessert, Chicken, Seafood, Italian, Beef, Lamb, Meat",2.8/5.0 (30 reviews)
Fatty Bom Bom Sizzle @ Margaret Drive,"40 Margaret Dr, Singapore 141040 #01-05",Yes,No,No,Yes,"Western, American, Beverages, Dessert, Chicken, Seafood, Italian, Beef, Lamb, Meat",3.2/5.0 (36 reviews)
Abang Gemok @ Jurong West St 41,"Block 496 Jurong West Street 41, Singapore 640496 #01-84",Yes,No,No,Yes,"BBQ, Chicken, Beef, American, Western",2.6/5.0 (12 reviews)
1 Hotplate Western @ Ang Mo Kio Ave 8,"505, Ang Mo Kio Avenue 8, 560505 #01-2688",Yes,No,No,Yes,,3.6/5.0 (5 reviews)
My Kampung @ Yishun Integrated Transport Hub,"920 Yishun Ave 2, Singapore 769100 #01-13",Yes,No,Yes,No,"Seafood, Malay, Asian, Chicken, Beverages, Chinese, Indian, Fusion",3.0/5.0 (6 reviews)
My Kampung @ Kampung Admiralty Hawker Centre,"676 Woodlands Drive 71, Level 2, Singapore 730676",Yes,No,Yes,No,"Seafood, Malay, Asian, Chicken, Beverages, Chinese, Indian, Fusion",2.1/5.0 (20 reviews)
My Kampung @ Changi City Point,"5 Changi Business Park Central 1, Singapore 486038  #02-01",Yes,No,Yes,No,"Seafood, Malay, Asian, Chicken, Beverages, Chinese, Indian, Fusion",2.5/5.0 (46 reviews)
My Kampung @ Kallang Wave Mall,"1 Stadium Pl, Singapore 397628 #02-16",Yes,No,Yes,No,"Seafood, Malay, Asian, Chicken, Beverages, Chinese, Indian, Fusion",3.3/5.0 (130 reviews)
Khaki Yong Tau Foo @ Greenridge Shopping Centre,"524A Jelapang Rd, Singapore 671524 #04",Yes,No,Yes,No,"Asian, Seafood, Chicken, Healthy",5.0/5.0 (2 reviews)
Khaki Yong Tau Foo @ Clementi,"380 Clementi Ave 5, Singapore 120380",Yes,No,Yes,No,"Asian, Seafood, Chicken, Healthy",N/A
Khaki Yong Tau Foo @ Yishun,"925 Yishun Central 1, Singapore 760925",Yes,No,Yes,No,"Asian, Seafood, Chicken, Healthy",5.0/5.0 (1 reviews)
An-Nur Shenton Way Special @ Chai Chee Ave,"36 Chai Chee Ave, Block 36, Singapore 461036",No,Yes,No,Yes,"Indian, Mee Combo",4.1/5.0 (30 reviews)
D'Rubinah Eating Corner @ Khatib,"846 Yishun Ring Rd, Singapore 760846",Yes,No,Yes,No,"Singaporean, Indian, Thai, Malay",3.9/5.0 (150 reviews)
An-Nur Shenton Way Special @ 198 Punggol Field,"198 Punggol Field, Singapore 820198 #01-01",No,Yes,No,Yes,"Indian, Mee Combo, Opens 24 Hours",3.5/5.0 (25 reviews)
Dou @ 529 Ang Mo Kio Ave 10,"529 Ang Mo Kio Ave 10, Singapore 560529",Yes,No,No,Yes,"Seafood, Chinese, Chicken, Asian, Healthy, Vegetarian, Opens 24 Hours",4.1/5.0 (22 reviews)
Dou @ 498 Jurong West,"498 Jurong West Street 41, 640498",Yes,No,No,Yes,"Seafood, Chinese, Chicken, Asian, Healthy, Vegetarian, Opens 24 Hours",4.0/5.0 (9 reviews)
Nur Jannatun Naim Roti John @ Bedok Food Centre,"511 Bedok North Street, Singapore 460511",No,Yes,No,Yes,"Singaporean, Western",4.3/5.0 (23 reviews)
Brostern @ Ci Yuan Hawker Centre,"51 Hougang Ave 9, Singapore 538776 #01-39 & #01-41",No,Yes,No,Yes,"Western, Beef, Italian, Chicken, Indian, Fusion",4.0/5.0 (144 reviews)
The $2.50 Shop @ Kukoh Food Centre,"1 Jln Kukoh, Singapore 161001",No,Yes,No,Yes,"Singaporean, Malay",4.6/5.0 (23 reviews)
Hjh Aishah Omar & Family Malay Rice & Yong Tau Foo,"14 Haig Rd, Singapore 430014 #01-10",No,Yes,Yes,No,"Singaporean, Malay",3.9/5.0 (9 reviews)
Hjh Yang Chek Nasi Rawon & Mee Rebus @ Upper Boon Keng Food Centre,"17 Upper Boon Keng Rd, Singapore 380017 #01-26",No,Yes,No,Yes,"Malay, Indonesian, Singaporean",4.6/5.0 (33 reviews)
Hjh Hadijah Muslim Food,"Blk 461 Yishun Ave 6, Singapore 760461 #01-16",No,Yes,No,Yes,"Singaporean, Malay, Nasi Padang",5.0/5.0 (6 reviews)
Hjh Salbiah @ Changi Village Hawker Centre,"2 Changi Village Rd, #01-04 Village Hawker Centre, Singapore 500002",No,Yes,No,Yes,"Malay, Singaporean, Nasi Lemak",4.6/5.0 (12 reviews)
ABC Express @ Admiralty Place,"678a Woodlands Ave 6,  Singapore 731678 #01-09",No,Yes,No,Yes,"Indian, Beef, Lamb, Chicken",2.5/5.0 (22 reviews)
ABC Express @ Woodlands Rise,"785e Woodlands Rise, Singapore 735785",No,Yes,No,Yes,"Indian, Beef, Lamb, Chicken",1.4/5.0 (28 reviews)
ABC Express @ Pasir Ris Drive 6,"443 Pasir Ris Drive 6, Singapore 510443 #01-16",No,Yes,No,Yes,"Indian, Beef, Lamb, Chicken, Opens 24 Hours",1.5/5.0 (24 reviews)
ABC Express @ Compassvale Link,"Blk 275d Compassvale Link, Singapore 544275 #01-01",No,Yes,No,Yes,"Indian, Beef, Lamb, Chicken, Opens 24 Hours",2.4/5.0 (36 reviews)
Rumah Makan Wak Min @ Tampines Central CC,"866a Tampines Street 83, Singapore 521866 #02-02",No,Yes,Yes,No,"Singaporean, Malay",4.1/5.0 (15 reviews)
Bedok Corner Hokkien Fried Squid & Prawn Mee,"1 Bedok Rd, #29 Bedok Corner Food, Singapore 469356",Yes,No,No,Yes,"Chinese, Singaporean, Seafood",4.1/5.0 (754 reviews)
Bedok One Hokkien Prawn Mee,"21 Sengkang West Ave, Singapore 797650 #03-15",Yes,No,No,Yes,"Chinese, Singaporean, Seafood",4.0/5.0 (59 reviews)
Kjjong-9 @ Tampines Mart,"Tampines Street 32, Singapore 529287",Yes,No,No,Yes,"Korean, Beef, Chicken",2.6/5.0 (5 reviews)
Kjjong-9 @ Waterway Point,"81 Punggol Central, Singapore",Yes,No,No,Yes,"Korean, Beef, Chicken",2.7/5.0 (7 reviews)
Riverside Indonesian BBQ @ JEM (Kopitiam),"50 Jurong Gateway Rd, Singapore 608549 #05-01",No,Yes,No,Yes,"BBQ, Malay, Singaporean, Indonesian, Chicken, Asian",3.0/5.0 (7 reviews)
Riverside Indonesian BBQ @ ION Orchard (Food Opera),"68 Orchard Rd, Singapore 238839 #06-15/17",No,Yes,No,Yes,"BBQ, Malay, Singaporean, Indonesian, Chicken, Asian",4.3/5.0 (107 reviews)
Riverside Indonesian BBQ @ 313 Somerset,"313 Orchard Rd, Singapore 238895 #B3-44",No,Yes,No,Yes,"BBQ, Malay, Singaporean, Indonesian, Chicken, Asian",3.3/5.0 (69 reviews)
Riverside Indonesian BBQ @ Tampines Mall (Kopitiam),"4 Tampines Central 5, Singapore 529510 #04-27/28/29",No,Yes,No,Yes,"BBQ, Malay, Singaporean, Indonesian, Chicken, Asian",4.2/5.0 (73 reviews)
Riverside Indonesian BBQ @ Jurong Point,"1 Jurong West Central 2, Singapore 648886 #03-42",No,Yes,No,Yes,"BBQ, Malay, Singaporean, Indonesian, Chicken, Asian",3.5/5.0 (14 reviews)
Riverside Indonesian BBQ @ Vivocity (Food Republic),"1 Harbourfront Walk, Singapore 098585  #03-01",No,Yes,No,Yes,"BBQ, Malay, Singaporean, Indonesian, Chicken, Asian",3.0/5.0 (19 reviews)
105 Nasi Padang,"105 Canberra St, Singapore 752106",No,Yes,Yes,No,"Malay, Indonesian",3.0/5.0 (2 reviews)
All Bout Chicken @ Alexander Village Food Centre,"120 Bukit Merah Lane 1,  Singapore 150120 #01-62",Yes,No,No,Yes,"BBQ, Western, Chicken",4.3/5.0 (24 reviews)
All Bout Chicken @ Chomp Chomp Food Centre,"20 Kensington Park Rd, Singapore 557269",Yes,No,No,Yes,"BBQ, Western, Chicken",4.2/5.0 (67 reviews)
Waker Chicken @ 215C Compassvale Drive,"215C Compassvale Dr, Singapore 543215",Yes,No,No,Yes,"Chicken, BBQ, American, Snacks, Fusion, Western",3.6/5.0 (102 reviews)
Waker Chicken @ 848 Yishun Ring Road,"848 Yishun Ring Rd, Singapore 768688",Yes,No,No,Yes,"Chicken, BBQ, American, Snacks, Fusion, Western",2.9/5.0 (65 reviews)
Waker Chicken @ 727 Clementi West St 2,"727 Clementi West Street 2, Singapore 120727",Yes,No,No,Yes,"Chicken, BBQ, American, Snacks, Fusion, Western",3.9/5.0 (63 reviews)
Waker Chicken @ 478 Tampines St 44,"478 Tampines Street 44, Singapore 520478",Yes,No,No,Yes,"Chicken, BBQ, American, Snacks, Fusion, Western",4.1/5.0 (53 reviews)
Waker Chicken @ 347 Bukit Gombak,"347 Bukit Batok Street 34, Singapore 650347",Yes,No,No,Yes,"Chicken, BBQ, American, Snacks, Fusion, Western",3.7/5.0 (134 reviews)
Waker Chicken @ Holland Drive,"Block 40 Holland Dr, Singapore 270040",Yes,No,No,Yes,"Chicken, BBQ, American, Snacks, Fusion, Western",3.6/5.0 (139 reviews)
BLACKGOAT @ Jalan Batu,"4a Jln Batu, Singapore 432004 #01-05",No,Yes,No,Yes,"BBQ, Lamb, Mediterranean, Fusion, Western, Beef, Chicken, Beverages",4.5/5.0 (241 reviews)
The Original Botak Jones @ Bedok North,"Bedok Food City, 1550 Bedok North Ave 4, Singapore 489950",No,Yes,No,Yes,"BBQ, Western, Mediterranean, Lamb, Beef, Beverages, Chicken, French, American",4.1/5.0 (96 reviews)
The Original Botak Jones @ 153 Kampong Ampat,"153 Kampong Ampat, Jun Jie Industrial Building, Singapore 368326 #07-05",No,Yes,No,Yes,"BBQ, Western, Mediterranean, Lamb, Beef, Beverages, Chicken, French, American",4.4/5.0 (230 reviews)
The Original Botak Jones @ Depot Lane,"118 Depot Ln, Singapore 109754",No,Yes,No,Yes,"BBQ, Western, Mediterranean, Lamb, Beef, Beverages, Chicken, French, American",4.0/5.0 (366 reviews)
Buey Tahan See-food Restaurant @ E!Hub,"1 Pasir Ris Cl, #04-101 E!hub, Singapore 519599 #04-101",Yes,No,No,Yes,"BBQ, Chinese, Singaporean, Seafood, Thai, Vegetarian, Malay, Fusion, Western, Asian",4.2/5.0 (193 reviews)
Sari Bistari Changi Village Ayam Penyet,"3 Changi Village Rd, Singapore 500003",No,Yes,No,Yes,"BBQ, Singaporean, Malay, Chicken, Asian, Indonesian",3.9/5.0 (25 reviews)
Aladdin Indian Muslim Cuisine,"Ntuc Foodfare, 273c Punggol Pl, Singapore 823273 #01-882",No,Yes,No,Yes,"Lamb, Indian, Chicken",3.6/5.0 (56 reviews)
Uncle Penyet @ Sumang Walk,"322 Sumang Walk, #01-01, Singapore 820322 #01-01",Yes,No,Yes,No,"Malay, Indonesian, Chicken, Vegetarian, Nasi Ayam Penyet",2.8/5.0 (49 reviews)
Yes Nasi Kukus @ Punggol,"273C Punggol Pl, Singapore 823273",Yes,No,No,Yes,"Malay, Chicken, Beef, Lamb, Vegetarian",4.3/5.0 (156 reviews)
Nasi Lemak Ayam Taliwang @ Northshore Plaza,"418 Northshore Dr Northshore Plaza 2, 418 Northshore Dr,  Cantine Foodcourt, Singapore 820418 #02-06/07",No,Yes,No,Yes,"Singaporean, Asian, Malay, BBQ, Chicken",4.8/5.0 (150 reviews)
Habib's Express @ 691 Woodlands Drive,"Blk 691 Woodlands Drive 73, Singapore 730691 #01-05",No,Yes,No,Yes,"Indian, Opens 24 Hours",1.4/5.0 (29 reviews)
Habib's Express @ 455 Sengkang West Avenue,"455 Sengkang West Ave, Singapore",No,Yes,No,Yes,"Indian, Opens 24 Hours",1.9/5.0 (32 reviews)
Habib's Express  @ 308 Anchorvale Road,"308 Anchorvale Rd, Singapore 540308",No,Yes,No,Yes,"Indian, Opens 24 Hours",2.7/5.0 (30 reviews)
The Halal Corner @ Haji Lane,"63 Haji Ln, Singapore 189256",No,Yes,Yes,No,"BBQ, Lamb, Mediterranean, Fusion, Western, Mexican, Beef, Chicken, French, American",4.1/5.0 (118 reviews)
Punjabi Dhaba,"1 Punggol Drive, Singapore 828629 #02-07",No,Yes,No,Yes,"Punjabi, Lamb, Beef, Chicken, Mediterranean",3.6/5.0 (74 reviews)
Rendang Nation,"1 Punggol Dr, Singapore 828629 #02-08",No,Yes,No,Yes,"BBQ, Lamb, Vegetarian, Malay, Beef, Chicken, Asian",4.4/5.0 (38 reviews)
Shahith Ar-Raheeq Indian Muslim Food,"1 Punggol Dr, Singapore 828629 #02-03",No,Yes,No,Yes,"Lamb, Vegetarian, Indian, Chicken",4.1/5.0 (7 reviews)
One Punggol Rojak & Prata Indian Muslim Food,"1 Punggol Dr, Singapore 828629 #02-02",No,Yes,No,Yes,"Singaporean, Lamb, Vegetarian, Indian, Chicken, Asian",2.8/5.0 (13 reviews)
Uncle Penyet @ One Punggol Hawker Centre,"1 Punggol Dr, Singapore 828629 #02-01",Yes,No,Yes,No,"Malay, Indonesian, Chicken, Vegetarian, Nasi Ayam Penyet",3.8/5.0 (22 reviews)
Dou @ Blk 693 Woodlands Ave 6,Blk 693 Woodlands Ave 6  Singapore 730693 #01-10,Yes,No,No,Yes,"Seafood, Chinese, Chicken, Asian, Healthy, Vegetarian, Opens 24 Hours",3.9/5.0 (12 reviews)
Dou @ Blk 259 Bt Panjang Ring Rd,"Blk 259 Bukit Panjang Ring Road, Singapore 671259  #01-34",Yes,No,No,Yes,"Seafood, Chinese, Chicken, Asian, Healthy, Vegetarian, Opens 24 Hours",3.9/5.0 (29 reviews)
Nurul Delight @ Bukit Batok Street 21,"217 Bukit Batok Street 21, Singapore 650217 #01-365",No,Yes,No,Yes,"BBQ, Seafood, Singaporean, Chicken, Asian, Malay, Vegetarian, Lamb, Beef, Indonesian",4.0/5.0 (45 reviews)
Ryo Yakiniku @ Tai Seng Avenue,"61 Tai Seng Ave  , Nam Wah Coffeeshop , Singapore 534167 #B1-02",No,Yes,No,Yes,"BBQ, Seafood, Chicken, Mediterranean, Lamb, Beef, Duck",4.6/5.0 (326 reviews)
Ayam Bakar By Abang Botak,"6 Jalan Bukit Merah, Abc Brickworks Market And Food Centre, Singapore 150006 #01-01",No,Yes,No,Yes,"BBQ, Singaporean, Chicken, Asian, Malay, Indonesian",3.4/5.0 (5 reviews)
The Social Outcast @ East Coast Road,"89 E Coast Rd, Singapore 428790 #01-01",No,Yes,No,Yes,"Beef, Mediterranean, Italian, Mexican, American, Chicken, Western",4.6/5.0 (404 reviews)
Nasi Ayam Taman Serasi by Fitra (S9) @ Plaza Singapura (Kopitiam),"68 Orchard Road, Plaza Singapura, Singapore 238839 #06-15/17",Yes,No,No,Yes,"Asian, Chicken, Singaporean",N/A
The Halal Corner @ Bedok,"Block 527 Bedok North Street 3, Singapore 460527",No,Yes,Yes,No,"BBQ, Lamb, Mediterranean, Fusion, Western, Mexican, Beef, Chicken, French, American",4.1/5.0 (117 reviews)
SS Western 66 @ Circuit Road,"79a Circuit Rd, Singapore 371079",No,Yes,No,Yes,"BBQ, Western, Mediterranean, Fusion, Beef, Chicken, French, American",4.3/5.0 (103 reviews)
Express Teppan-yaki @ Food Junction NEX,"23 Serangoon Central, Singapore 556083 #04-36/37",Yes,No,No,Yes,"Western, Malay, Vegetarian, Beverages, Singaporean, Seafood, Chicken, Dessert, Fusion, Indonesian, Chinese, Japanese, Korean, Thai, Indian, Italian",2.7/5.0 (56 reviews)
Afandi Hawa & Family,"14 Haig Road, Singapore 430014 #01-21",No,Yes,No,Yes,"BBQ, Seafood, Singaporean, Lamb, Malay, Beef, Indonesian, Chicken, Asian, Mee Rebus",4.2/5.0 (150 reviews)
Suhaime's,"Blk 69 Geylang Bahru Market Food & Centre, Singapore 330069 #01-2879",No,Yes,No,Yes,"Malay, Lamb, Beef, Asian, Chicken, Mee Rebus",4.4/5.0 (22 reviews)
Yunos & Family,"724 Ang Mo Kio Ave 6, Singapore 560724 #01-01",No,Yes,No,Yes,"Lamb, Malay, Indonesian, Asian, Chicken, Mee Rebus",4.4/5.0 (449 reviews)
Aziz Jaffar Muslim Food,"335 Smith St, Chinatown Complex Market, Singapore 050335 #02-70",No,Yes,No,Yes,"BBQ, Seafood, Singaporean, Chicken, Asian, Malay, Vegetarian, Lamb, Indonesian, Beef",4.5/5.0 (15 reviews)
Superstar Original Famous Penang Laksa,"32 New Market Road, Singapore 050032 #01-1002",Yes,No,No,Yes,"BBQ, Seafood, Fusion, Chinese",4.6/5.0 (366 reviews)
KL Damansara Chilli Ban Mee @ Bedok Shopping Complex,"314 Bedok Road Singapore, Singapore 469478",Yes,No,No,Yes,"Chinese, Seafood, Beef, Chicken, Asian, Vegetarian",4.0/5.0 (120 reviews)
Fatty Bom Bom Sizzle @ 365B Upper Serangoon Road,"365b Upper Serangoon Road, Hougang Meadow, Singapore 532365",Yes,No,No,Yes,"Western, American, Beverages, Dessert, Chicken, Seafood, Italian, Beef, Lamb, Meat",3.6/5.0 (116 reviews)
Fatty Bom Bom Sizzle @ 494 Tampines St. 45,"494 Tampines Street 45, Singapore 523494",Yes,No,No,Yes,"Western, American, Beverages, Dessert, Chicken, Seafood, Italian, Beef, Lamb, Meat",3.6/5.0 (259 reviews)
Fatty Bom Bom Sizzle @ 273C Punggol Place,"273c Punggol Place, Singapore 823273 #01-882",Yes,No,No,Yes,"Western, American, Beverages, Dessert, Chicken, Seafood, Italian, Beef, Lamb, Meat",2.6/5.0 (110 reviews)
Fatty Bom Bom Sizzle @ 526 Jurong West St 52,"526 Jurong West St 52, Singapore 640526",Yes,No,No,Yes,"Western, American, Beverages, Dessert, Chicken, Seafood, Italian, Beef, Lamb, Meat",3.3/5.0 (83 reviews)
Fatty Bom Bom Sizzle @ 455 Sengkang West Ave,"455 Sengkang West Ave, Singapore 791455",Yes,No,No,Yes,"Western, American, Beverages, Dessert, Chicken, Seafood, Italian, Beef, Lamb, Meat",2.7/5.0 (138 reviews)
Fatty Bom Bom Sizzle @ 209 New Upper Changi Rd (Bedok Central),"209 New Upper Changi Rd (Bedok Central), Singapore 460209",Yes,No,No,Yes,"Western, American, Beverages, Dessert, Chicken, Seafood, Italian, Beef, Lamb, Meat",2.5/5.0 (73 reviews)
Kawan Kawan Chicken Rice @ Marsiling Industrial Estate,"10 Marsiling Industrial Estate Rd 1, Singapore 739276",Yes,No,No,Yes,"Singaporean, Chicken, Malay, Asian",4.9/5.0 (20 reviews)
Nasi Lemak Kukus By Walaku @ Alexandra Road,"456 Alexandra Rd, Singapore 119962",No,Yes,No,Yes,"BBQ, Singaporean, Chicken, Asian, Malay",4.2/5.0 (41 reviews)
Selera Kampung Satay,"17 Upper Boon Keng Hawker Centre, Singapore 380017 #01-22",No,Yes,No,Yes,"BBQ, Chicken, Malay, Beef, Lamb, Asian, Singaporean",4.0/5.0 (5 reviews)
P. Baharnisha Muslim Food Stall @ Teban Gardens Food Centre,"37a Teban Gardens Rd, Singapore 601037 #01-26",No,Yes,No,Yes,"Lamb, Vegetarian, Indian, Chicken",4.6/5.0 (11 reviews)
Seri Muslim Food,"399 Yung Sheng Rd, Singapore 610399",No,Yes,No,Yes,"Seafood, Singaporean, BBQ, Malay, Vegetarian, Lamb, Beef, Indonesian, Chicken",4.4/5.0 (51 reviews)
Nurain's Malay Food @ Bedok North Street 3,"539 Bedok North St 3, Singapore 460539 #01-593",No,Yes,No,Yes,"Beef, Asian, Chicken, Lamb, Seafood, BBQ, Malay",4.3/5.0 (6 reviews)
Hassbawa Mee Stall @ Marine Parade Central,"Blk 84 Marine Parade Central, Singapore 440084 #01-150",No,Yes,No,Yes,"BBQ, Seafood, Chicken, Lamb, Indian",4.8/5.0 (12 reviews)
Suzana Muslim Food @ Albert Centre,"270 Queen Street,  Albert Centre Market & Food Centre, Singapore 180270 #01-126",No,Yes,No,Yes,"BBQ, Seafood, Singaporean, Chicken, Asian, Malay, Vegetarian, Indonesian, Beef",3.6/5.0 (23 reviews)
West Coast BBQ Seafood,"503 West Coast Drive, Singapore 120503 #01-24",Yes,No,No,Yes,"BBQ, Seafood, Asian, Chicken, Beef",4.6/5.0 (14 reviews)
Riverside Indonesian BBQ @ Plaza Singapura (Kopitiam),"68 Orchard Road, Singapore 238839 #06-15/17",No,Yes,No,Yes,"BBQ, Malay, Singaporean, Indonesian, Chicken, Asian",4.3/5.0 (107 reviews)
KDS Indian Muslim Food,"630 Yishun Street 61, Singapore 760630",No,Yes,No,Yes,"Indian, Vegetarian, Lamb, Asian, Chicken",4.1/5.0 (33 reviews)
Al-Rahman Muslim Food @ Haig Road,"14 Haig Road, Singapore 430014 #01-25",No,Yes,No,Yes,"Indian, Lamb, Chicken, Asian",4.7/5.0 (9 reviews)
International Muslim Food Stall Nasi Lemak,"2 Changi Village Road, Singapore 500002 #01-03",No,Yes,No,Yes,"BBQ, Malay, Chicken, Asian",3.9/5.0 (293 reviews)
Noordima Malay Food Stall,"Blk 11 Telok Blangah Crescent, Telok Blangah Crescent Market And Food Centre, Singapore 090011 #01-78",No,Yes,No,Yes,"Lamb, Vegetarian, Malay, Indian, Beef, Indonesian, Chicken, Asian",4.5/5.0 (4 reviews)
Salbiah Malay Stall,"37a Teban Gardens Road, Singapore 600037 #01-05",Yes,No,No,Yes,"Singaporean, Seafood, Lamb, Vegetarian, Malay, Beef, Chicken, Indonesian, Asian",4.0/5.0 (4 reviews)
Haji Ali Cooked Food,"105 Yishun Ring Road, Chong Pang Market Food Centre, Singapore 760105 #01-171",No,Yes,No,Yes,"Singaporean, Malay, Asian, Chicken, Beef, Lamb, Indonesian",3.3/5.0 (4 reviews)
Yang's Epok Epok,"1 Bedok Road, Bedok Food Center (Bedok Corner), Singapore 469572",No,Yes,No,Yes,"Chicken, Beef, Malay",4.0/5.0 (57 reviews)
Takara Grilled Seafood @ Newton Circus Food Centre,"500 Clemenceau Avenue North, Newton Circus Food Centre, Singapore 229495 #01-23",Yes,No,No,Yes,"BBQ, Seafood, Chicken, Asian, Chinese",3.4/5.0 (15 reviews)
Rahim Muslim Food @ 453A Ang Mo Kio Avenue 10,"453a Ang Mo Kio Avenue 10, Singapore 561453 #01-01",No,Yes,No,Yes,"Indonesian, Malay, Asian, Beef, Lamb, Mee Rebus",4.2/5.0 (403 reviews)
Desa Rancapanggung @ 739 Bedok Reservoir Road,"739 Bedok Reservoir Road, Singapore 470739",No,Yes,No,Yes,"Vegetarian, Lamb, Seafood, Malay, Indian, Beef, Chicken, Indonesian, BBQ",4.2/5.0 (88 reviews)
Inspirasi @ Bedok Interchange Hawker Centre,"208b New Upper Changi Road, Bedok Interchange Hawker Centre, Singapore 462208 #01-64",No,Yes,No,Yes,"BBQ, Singaporean, Seafood, Lamb, Vegetarian, Malay, Beef, Indonesian, Chicken, Asian, Mee Rebus",4.4/5.0 (171 reviews)
Masakan Anak Bujang @ Bedok Corner,"1 Bedok Road, Bedok Food Center (Bedok Corner), Singapore 469572",No,Yes,No,Yes,"Lamb, Beef, Chicken, Asian, Malay",4.4/5.0 (49 reviews)
Aziz & Family Malay Food,"11 Telok Blangah Crescent, Singapore 090011 #01-96",No,Yes,No,Yes,"Malay, Seafood, Singaporean, Asian, Chicken, Indonesian",5.0/5.0 (3 reviews)
